,Cash,Stock,Asset,Signal,CAGR,MDD,Accuracy,Precision
2018-04-25,3524,[100],1097524,Hold,10.346069419304493,10.024861656909135,,
2018-04-26,3524,[100],1102524,Hold,10.844900956329528,10.024861656909135,,
2018-04-27,3524,[100],1112524,Hold,11.869476228621533,10.024861656909135,,
2018-04-30,3524,[100],1114524,Hold,11.97151211575056,10.024861656909135,,
2018-05-02,3524,[100],1103524,Hold,10.754604831709313,10.024861656909135,,
2018-05-03,3524,[100],1095024,Hold,9.840833095634572,10.024861656909135,,
2018-05-04,3524,[100],1096524,Hold,9.96681414063798,10.024861656909135,,
2018-05-08,3524,[100],1108524,Hold,11.07594183561904,10.024861656909135,,
2018-05-09,3524,[100],1112524,Hold,11.450843999055804,10.024861656909135,,
2018-05-10,3524,[100],1120524,Hold,12.229639519298896,10.024861656909135,,
2018-05-11,3524,[100],1130524,Hold,13.20618215850704,10.024861656909135,,
2018-05-14,3524,[100],1142024,Hold,14.244073320294802,10.024861656909135,,
2018-05-15,3524,[100],1135024,Hold,13.502400000000003,10.024861656909135,,
2018-05-16,3524,[100],1130524,Hold,13.014511790619764,10.024861656909135,,
2018-05-17,3524,[100],1136524,Hold,13.573165469324277,10.024861656909135,,
2018-05-18,3524,[100],1135524,Hold,13.434809947872894,10.024861656909135,,
2018-05-21,3524,[100],1136024,Hold,13.368330649706683,10.024861656909135,,
2018-05-23,3524,[100],1135524,Hold,13.243291117943357,10.024861656909135,,
2018-05-24,3524,[100],1136524,Hold,13.30293447220341,10.024861656909135,,
2018-05-25,3524,[100],1141024,Hold,13.70168966373968,10.024861656909135,,
2018-05-28,3524,[100],1141024,Hold,13.585873965022666,10.024861656909135,,
2018-05-29,3524,[100],1134024,Hold,12.876760674202359,10.024861656909135,,
2018-05-30,3524,[100],1123524,Hold,11.837044650931672,10.024861656909135,,
2018-05-31,3524,[100],1129524,Hold,12.376145418979224,10.024861656909135,,
2018-06-01,3524,[100],1132524,Hold,12.626908357469556,10.024861656909135,,
2018-06-04,3524,[100],1141524,Hold,13.37017331397712,10.024861656909135,,
2018-06-05,3524,[100],1142024,Hold,13.380262780570295,10.024861656909135,,
2018-06-07,3524,[100],1158524,Hold,14.846258190984596,10.024861656909135,,
2018-06-08,3524,[100],1155524,Hold,14.526428494841515,10.024861656909135,,
2018-06-11,3524,[100],1153524,Hold,14.223218199191546,10.024861656909135,,
2018-06-12,3524,[100],1162024,Hold,14.965816904572371,10.024861656909135,,
2018-06-14,3524,[100],1158024,Hold,14.519185853532935,10.024861656909135,,
2018-06-15,3524,[100],1163024,Hold,14.935505364718459,10.024861656909135,,
2018-06-18,3524,[100],1156524,Hold,14.228125599031083,10.024861656909135,,
2018-06-19,3524,[100],1141024,Hold,12.792828132152657,10.024861656909135,,
2018-06-20,3524,[100],1156524,Hold,14.152362872356727,10.024861656909135,,
2018-06-21,3524,[100],1154524,Hold,13.935590851398437,10.024861656909135,,
2018-06-22,3524,[100],1153024,Hold,13.764676449402646,10.024861656909135,,
2018-06-25,3524,[100],1148024,Hold,13.21313210767794,10.024861656909135,,
2018-06-26,3524,[100],1140024,Hold,12.471064519176146,10.024861656909135,,
2018-06-27,3524,[100],1122024,Hold,10.849136015788519,10.024861656909135,,
2018-06-28,3524,[100],1128024,Hold,11.34993324228406,10.024861656909135,,
2018-06-29,3524,[100],1139024,Hold,12.28662987743565,10.024861656909135,,
2018-07-02,3524,[100],1130024,Hold,11.40833201543865,10.024861656909135,,
2018-07-03,3524,[100],1137024,Hold,11.987326882958648,10.024861656909135,,
2018-07-04,3524,[100],1134024,Hold,11.696934048363783,10.024861656909135,,
2018-07-05,3524,[100],1129524,Hold,11.27835138370681,10.024861656909135,,
2018-07-06,3524,[100],1144024,Hold,12.49889586598063,10.024861656909135,,
2018-07-09,3524,[100],1156524,Hold,13.470873446595078,10.024861656909135,,
2018-07-10,3524,[100],1164024,Hold,14.074323167666725,10.024861656909135,,
2018-07-11,3524,[100],1159024,Hold,13.614927263130493,10.024861656909135,,
2018-07-12,3524,[100],1160524,Hold,13.70747651880233,10.024861656909135,,
2018-07-13,3524,[100],1170524,Hold,14.515727470110718,10.024861656909135,,
2018-07-16,3524,[100],1171024,Hold,14.448500419560318,10.024861656909135,,
2018-07-17,3524,[100],1167524,Hold,14.120729734866245,10.024861656909135,,
2018-07-18,3524,[100],1175024,Hold,14.708836398013393,10.024861656909135,,
2018-07-19,3524,[100],1176524,Hold,14.796481779557524,10.024861656909135,,
2018-07-20,3524,[100],1173024,Hold,14.470551872940085,10.024861656909135,,
2018-07-23,3524,[100],1168524,Hold,13.99457598886893,10.024861656909135,,
2018-07-24,3524,[100],1181024,Hold,14.982271147294114,10.024861656909135,,
2018-07-25,3524,[100],1178524,Hold,14.741729848009832,10.024861656909135,,
2018-07-26,3524,[100],1186524,Hold,15.355617140357714,10.024861656909135,,
2018-07-27,3524,[100],1187524,Hold,15.398986941087234,10.024861656909135,,
2018-07-30,3524,[100],1174024,Hold,14.200801436214139,10.024861656909135,,
2018-07-31,3524,[100],1173024,Hold,14.086188683865775,10.024861656909135,,
2018-08-01,3524,[100],1175524,Hold,14.252492446106224,10.024861656909135,,
2018-08-02,3524,[100],1173024,Hold,14.018484743619997,10.024861656909135,,
2018-08-03,3524,[100],1180524,Hold,14.582303694181341,10.024861656909135,,
2018-08-06,3524,[100],1186024,Hold,14.912252459490126,10.024861656909135,,
2018-08-07,3524,[100],1191024,Hold,15.27021965791966,10.024861656909135,,
2018-08-08,3524,[100],1195024,Hold,15.547630043926851,10.024861656909135,,
2018-08-09,3524,[100],1194524,Hold,15.471495876365271,10.024861656909135,,
2018-08-10,3524,[100],1188024,Hold,14.927250245357726,10.024861656909135,,
2018-08-13,3524,[100],1182524,Hold,14.395250303148877,10.024861656909135,,
2018-08-14,3524,[100],1183524,Hold,14.438919992330955,10.024861656909135,,
2018-08-16,3524,[100],1183524,Hold,14.371540287195138,10.024861656909135,,
2018-08-17,3524,[100],1188024,Hold,14.68365668849405,10.024861656909135,,
2018-08-20,3524,[100],1188524,Hold,14.61976989830982,10.024861656909135,,
2018-08-21,3524,[100],1193524,Hold,14.965845662670807,10.024861656909135,,
2018-08-22,3524,[100],1193524,Hold,14.931295466030758,10.024861656909135,,
2018-08-23,3524,[100],1197524,Hold,15.199052903835542,10.024861656909135,,
2018-08-24,3524,[100],1196024,Hold,15.051077376508726,10.024861656909135,,
2018-08-27,3524,[100],1204524,Hold,15.583212014694725,10.024861656909135,,
2018-08-28,3524,[100],1210024,Hold,15.957129498542844,10.024861656909135,,
2018-08-29,3524,[100],1213524,Hold,16.18044228827431,10.024861656909135,,
2018-08-30,3524,[100],1214524,Hold,16.217537022784654,10.024861656909135,,
2018-08-31,3524,[100],1210024,Hold,15.848295856994321,10.024861656909135,,
2018-09-03,3524,[100],1212024,Hold,15.887598878516386,10.024861656909135,,
2018-09-04,3524,[100],1215524,Hold,16.107690975926946,10.024861656909135,,
2018-09-05,3524,[100],1209024,Hold,15.59716107588336,10.024861656909135,,
2018-09-06,3524,[100],1206024,Hold,15.343619068937464,10.024861656909135,,
2018-09-07,3524,[100],1203524,Hold,15.127516620119486,10.024861656909135,,
2018-09-10,3524,[100],1204524,Hold,15.099045653876653,10.024861656909135,,
2018-09-11,3524,[100],1207024,Hold,15.245664979802376,10.024861656909135,,
2018-09-12,3524,[100],1207024,Hold,15.211952622608571,10.024861656909135,,
2018-09-13,3524,[100],1207524,Hold,15.214219831040342,10.024861656909135,,
2018-09-14,3524,[100],1204524,Hold,14.966181499342612,10.024861656909135,,
2018-09-17,3524,[100],1206524,Hold,15.010098160464281,10.024861656909135,,
2018-09-18,3524,[100],1204524,Hold,14.835631781707859,10.024861656909135,,
2018-09-19,3524,[100],1215024,Hold,15.544947774613105,10.024861656909135,,
2018-09-20,3524,[100],1218024,Hold,15.722178240899298,10.024861656909135,,
2018-09-21,3524,[100],1227524,Hold,16.353986982294867,10.024861656909135,,
2018-09-27,3524,[100],1215524,Hold,15.312764206317109,10.024861656909135,,
2018-09-28,3524,[100],1219524,Hold,15.556231403627518,10.024861656909135,,
2018-10-01,3524,[100],1225024,Hold,15.83368613679248,10.024861656909135,,
2018-10-02,3524,[100],1221524,Hold,15.56075204934826,10.024861656909135,,
2018-10-04,3524,[100],1220024,Hold,15.392721261816256,10.024861656909135,,
2018-10-05,3524,[100],1217524,Hold,15.190308776034133,10.024861656909135,,
2018-10-08,3524,[100],1209024,Hold,14.520197188370275,10.024861656909135,,
2018-10-10,3524,[100],1203524,Hold,14.088964059826893,10.024861656909135,,
2018-10-11,3524,[100],1161024,Hold,11.184646368719209,10.024861656909135,,
2018-10-12,3524,[100],1176024,Hold,12.177721972989875,10.024861656909135,,
2018-10-15,3524,[100],1149524,Hold,10.317147227149048,10.024861656909135,,
2018-10-16,3524,[100],1156524,Hold,10.768205419702138,10.024861656909135,,
2018-10-17,3524,[100],1183524,Hold,12.554969220219325,10.024861656909135,,
2018-10-18,3524,[100],1171024,Hold,11.695464477848482,10.024861656909135,,
2018-10-19,3524,[100],1165024,Hold,11.271406878327483,10.024861656909135,,
2018-10-22,3524,[100],1164024,Hold,11.137148547248078,10.024861656909135,,
2018-10-23,3524,[100],1145524,Hold,9.88640715640905,10.024861656909135,,
2018-10-24,3524,[100],1147024,Hold,9.966371316376232,10.024861656909135,,
2018-10-25,3524,[100],1114524,Hold,7.783516521562928,10.024861656909135,,
2018-10-26,3524,[100],1109024,Hold,7.401019096270067,10.024861656909135,,
