종목,현재가,고가,저가,변동,변동 %,거래량,시간
스냅온,216.49,217.77,214.74,+1.74,+0.81%,174.38K,14/05
스카이웍스 솔루션즈,103.48,104.08,100.73,+3.53,+3.53%,2.41M,14/05
스타벅스,75.60,75.73,71.88,+5.70,+8.15%,18.11M,14/05
스탠리 블랙 앤 데커,121.61,122.99,120.22,+1.14,+0.95%,1.48M,14/05
스테이트 스트리트,69.21,69.97,68.46,+1.59,+2.35%,2.09M,14/05
스트라이커,233.27,235.88,230.53,+5.27,+2.31%,1.26M,14/05
시그나,259.19,261.98,258.03,-0.84,-0.32%,1.51M,14/05
시놉시스,275.99,277.55,266.77,+13.93,+5.32%,916.29K,14/05
시스코,84.73,85.71,83.37,+2.12,+2.57%,2.01M,14/05
시스코 시스템즈,49.56,49.63,48.53,+1.27,+2.63%,18.77M,14/05
시저스 엔터,54.99,55.32,51.21,+5.16,+10.36%,4.84M,14/05
시트릭스 시스템즈,99.15,99.86,98.78,-0.68,-0.68%,1.04M,14/05
시티즌 금융 그룹,37.94,38.61,37.63,+0.15,+0.40%,4.84M,14/05
신시내티 파이낸셜,126.23,126.50,124.65,+1.41,+1.13%,489.55K,14/05
신타스,375.97,378.60,364.63,+9.76,+2.67%,428.95K,14/05
실드 에어,62.40,63.91,62.00,-0.73,-1.16%,863.95K,14/05
싱크로니 파이낸셜,33.55,34.35,33.33,+0.52,+1.57%,7.33M,14/05
써모 피셔 사이언티픽,541.42,551.86,532.99,+15.62,+2.97%,1.33M,14/05
씨게이트,80.71,81.17,79.07,+2.61,+3.34%,1.36M,14/05
씨티그룹,47.64,47.85,46.81,+1.08,+2.32%,21.44M,14/05
아나로그디바이스,158.74,159.70,153.88,+5.85,+3.83%,4.77M,14/05
아리스타 네트웍스,108.65,109.37,103.65,+6.98,+6.87%,2.29M,14/05
아마존닷컴,"2,261.10","2,263.68","2,156.00",+122.49,+5.73%,4.64M,14/05
아메리소스버진,152.89,154.05,150.15,+1.74,+1.15%,1.92M,14/05
아메리칸 익스프레스,158.75,160.09,155.88,+5.48,+3.58%,3.33M,14/05
아메리칸 일렉트릭 파워,99.69,99.82,97.89,+1.16,+1.18%,2.16M,14/05
아메리칸 타워,232.66,232.89,226.18,+7.16,+3.18%,2.23M,14/05
아메리칸워터웍스,146.48,147.91,145.11,+0.66,+0.45%,710.82K,14/05
아메리칸항공그룹,16.58,16.65,15.82,+1.09,+7.04%,31.65M,14/05
